city;year;people;air_general_level;net_salary;Avg_Age;ILM;birth;crimes;criminals;death;pens;preschool_child;length_of_roads;energy_consumption;Migration_Net;Housing_Stock;wage;workers;poverty level;housing price
Луга;2015;36789.0;1;0;41.47;0;0.0;0;0;0.0;0.0;0.0;428.6;189.4;;23.6;0.0;0.0;;57397.54
Магадан;2015;92082.0;1;58610;37.9;17738;12.9;2112;1229;11.4;28.7;6.0;377.0;340.9;-183.0;28.8;68151.2;33.4;;
Магнитогорск;2015;416648.0;3;30673;39.25;0;14.3;7576;3333;13.7;123.7;29.7;294.2;181.5;290.0;24.6;35666.2;121.3;;43051.45
Махачкала;2015;583233.0;3;23684;31.71;8980;13.1;4021;2206;3.7;112.3;19.1;411.2;162.1;-1029.0;15.7;27540.0;102.6;;
Мегет;2015;8894.0;-9;0;37.24;0;0.0;0;0;0.0;0.0;0.0;381.9;212.7;;20.3;0.0;0.0;;43474.8
Медногорск;2015;26237.0;2;0;38.9;0;0.0;0;0;0.0;0.0;0.0;150.1;197.8;;25.2;0.0;0.0;;39777.81
Минеральные Воды;2015;76348.0;-9;0;38.73;0;0.0;0;0;0.0;0.0;0.0;396.1;202.5;;24.9;0.0;0.0;;38231.24
Минусинск;2015;71306.0;4;0;38.0;0;0.0;0;0;0.0;0.0;0.0;402.9;169.0;;23.6;0.0;0.0;;55976.87
Мирный;2015;34836.0;1;0;39.8;0;0.0;0;0;0.0;0.0;0.0;563.9;208.8;;24.5;0.0;0.0;;60126.56
Мончегорск;2015;43147.0;1;0;38.25;0;0.0;0;0;0.0;0.0;0.0;187.5;188.2;;26.2;0.0;0.0;;
Москва;2015;12197596.0;2;63437;41.55;16296;0.0;0;0;0.0;0.0;0.0;604.7;393.5;112211.0;19.1;0.0;0.0;;122772.96
Мурманск;2015;302369.0;1;45786;38.25;14298;12.4;8907;2712;11.9;105.6;17.3;468.0;305.4;-3816.0;26.2;53239.9;96.9;;
Мытищи;2015;183224.0;1;40981;40.17;0;15.7;0;0;12.6;57.2;11.0;333.9;176.1;2831.0;32.0;47652.3;53.9;;81716.3
Набережные Челны;2015;524444.0;1;24888;38.97;0;15.8;7677;2891;8.6;140.4;31.3;416.2;207.3;-1492.0;23.7;28940.0;133.0;;48301.49
Надвоицы;2015;7942.0;1;0;40.22;0;0.0;0;0;0.0;0.0;0.0;420.4;160.0;;27.0;0.0;0.0;;49249.92
Назарово;2015;51031.0;2;0;38.0;0;0.0;0;0;0.0;0.0;0.0;338.7;180.0;;23.6;0.0;0.0;;55976.87
Нариманов;2015;11411.0;1;0;38.32;0;0.0;0;0;0.0;0.0;0.0;186.7;200.9;;24.3;0.0;0.0;;39845.39
Находка;2015;156442.0;-9;35541;39.21;0;13.3;3882;1269;13.4;44.8;8.4;187.5;207.1;-2124.0;22.2;41326.5;35.5;;53706.03
Невинномысск;2015;117896.0;1;24903;38.73;0;14.2;2014;835;13.1;36.6;6.7;428.3;160.0;-108.0;24.9;28956.4;25.6;;38231.24
Нерюнгри;2015;58638.0;1;0;33.73;0;0.0;0;0;0.0;0.0;0.0;265.0;168.6;;20.9;0.0;0.0;;69743.5
Нефтеюганск;2015;125765.0;1;51617;34.23;0;15.4;1679;777;6.2;39.7;6.9;279.2;185.3;-1163.0;20.3;60019.9;36.3;;59274.5
Нижневартовск;2015;268456.0;1;50196;34.23;0;16.1;4794;2163;6.4;79.6;17.3;229.7;207.2;-210.0;20.3;58366.9;75.7;;59274.5
Нижнекамск;2015;236197.0;1;30538;38.97;0;15.1;3298;1444;8.5;76.8;16.4;150.8;209.8;-802.0;23.7;35509.0;85.7;;48301.49
Нижний Новгород;2015;1267760.0;1;31310;41.03;9765;13.2;17123;7105;13.9;392.3;69.9;456.8;206.9;-120.0;24.6;36406.8;450.8;;60777.17
Нижний Тагил;2015;356744.0;3;26820;39.41;0;12.5;0;0;15.2;0.0;20.6;154.3;199.6;453.0;24.1;31186.3;118.4;;59277.1
Никель;2015;12049.0;2;0;38.25;0;0.0;0;0;0.0;0.0;0.0;384.9;158.6;;26.2;0.0;0.0;;
Николаевск-На-Амуре;2015;20834.0;1;0;38.14;0;0.0;0;0;0.0;0.0;0.0;249.4;190.2;;23.2;0.0;0.0;;59746.7
Новоалександровск;2015;12956.0;2;0;38.73;0;0.0;0;0;0.0;0.0;0.0;342.8;211.2;;24.9;0.0;0.0;;38231.24
Новодвинск;2015;39746.0;1;0;39.8;0;0.0;0;0;0.0;0.0;0.0;265.3;175.8;;24.5;0.0;0.0;;60126.56
Новокузнецк;2015;550127.0;3;27867;39.0;0;12.0;11858;5325;13.9;169.6;30.9;439.3;229.2;2153.0;23.4;32403.5;142.0;;42520.5
Новокуйбышевск;2015;107101.0;1;29462;40.53;0;12.2;1482;569;15.8;35.4;6.0;367.3;212.8;-727.0;24.5;34258.6;29.4;;41348.85
Новомосковск;2015;131386.0;1;26538;42.8;0;12.1;1233;573;17.3;54.2;6.2;302.0;209.9;-122.0;25.0;30858.2;36.0;;
Новороссийск;2015;262293.0;1;31527;39.88;0;12.0;3880;1663;10.7;75.2;14.6;288.2;205.6;4442.0;24.9;36659.1;70.1;;40960.21
Новосибирск;2015;1567087.0;2;31900;39.27;11299;14.6;34800;9438;11.6;426.5;81.2;500.6;250.6;12382.0;23.9;37093.0;419.3;;47803.35
Новотроицк;2015;97024.0;1;0;38.9;0;0.0;0;0;0.0;0.0;0.0;259.8;177.5;;25.2;0.0;0.0;;39777.81
Новоульяновск;2015;14050.0;1;0;41.37;0;0.0;0;0;0.0;0.0;0.0;246.8;175.3;;25.2;0.0;0.0;;37810.42
Новочебоксарск;2015;125432.0;1;19446;39.27;0;14.5;1908;671;9.7;36.6;9.7;282.7;198.3;9.0;23.3;22611.4;23.6;;41565.66
Новочеркасск;2015;173467.0;3;22190;40.54;0;11.3;2855;1071;14.2;51.1;7.1;181.4;202.0;-2078.0;24.5;25801.9;41.1;;41725.27
Норильск;2015;176559.0;4;65761;38.0;0;15.4;2414;1254;6.0;41.2;11.7;587.9;183.0;-495.0;24.5;76465.7;85.6;;55976.87
Оленегорск;2015;22935.0;1;0;38.25;0;0.0;0;0;0.0;0.0;0.0;592.4;182.7;;23.6;0.0;0.0;;
Омск;2015;1173854.0;1;26727;38.89;8965;13.9;18121;7722;12.2;330.2;62.5;460.0;213.4;2212.0;26.2;31077.4;308.7;;42029.82
Орел;2015;319655.0;1;22995;41.59;9489;0.0;0;0;0.0;0.0;0.0;381.7;197.6;1388.0;23.6;26738.8;93.7;;
Оренбург;2015;561279.0;1;27228;38.9;8771;14.1;10655;4272;11.4;157.2;33.2;437.8;177.9;-287.0;27.2;31660.4;186.7;;39777.81
Орск;2015;230414.0;1;19341;38.9;0;12.5;4824;2079;16.3;74.9;14.4;248.4;196.3;-921.0;25.2;22489.9;47.7;;39777.81
Отрадный;2015;47705.0;1;0;40.53;0;0.0;0;0;0.0;0.0;0.0;276.1;160.6;;25.2;0.0;0.0;;41348.85
Оха;2015;21823.0;-9;0;38.42;0;0.0;0;0;0.0;0.0;0.0;566.6;199.5;;24.5;0.0;0.0;;67802.1
Партизанск;2015;38181.0;-9;0;39.21;0;0.0;0;0;0.0;0.0;0.0;248.0;168.1;;24.9;0.0;0.0;;53706.03
Певек;2015;4722.0;-9;0;34.51;0;0.0;0;0;0.0;0.0;0.0;182.5;191.4;;22.2;0.0;0.0;;
Пенза;2015;522823.0;1;23771;41.83;8764;11.7;6110;3179;12.6;158.2;27.8;405.7;178.5;2301.0;34.5;27640.2;140.6;;40829.7
Первоуральск;2015;146558.0;2;25667;39.41;0;14.0;0;0;16.1;49.6;9.5;211.1;196.0;-285.0;26.5;29845.1;35.7;;59277.1
Переславль-Залесский;2015;0.0;1;0;41.42;0;0.0;0;0;0.0;0.0;0.0;595.8;170.6;;24.1;0.0;0.0;;50640.15
Пермь;2015;1036469.0;2;31610;38.7;9920;15.0;23192;7542;12.3;290.8;61.6;485.3;193.3;2627.0;24.2;36756.3;296.3;;55966.12
Петровск-Забайкальский;2015;17896.0;4;0;35.65;0;0.0;0;0;0.0;0.0;0.0;208.0;193.0;;23.3;0.0;0.0;;42348.19
Петрозаводск;2015;277015.0;1;31190;40.22;12338;13.0;7766;2248;12.3;90.5;15.8;550.6;204.1;1577.0;21.5;36267.6;72.3;;49249.92
Петропавловск-Камчатский;2015;181216.0;1;57840;37.54;17939;13.4;3372;0;10.9;52.6;9.6;396.3;371.3;-180.0;27.0;67255.5;54.0;;59200
Подольск;2015;223607.0;1;42823;40.17;0;16.4;0;0;13.2;86.3;12.9;259.2;163.5;1679.0;25.6;49794.5;58.5;;81716.3
Поронайск;2015;15889.0;1;0;38.42;0;0.0;0;0;0.0;0.0;0.0;390.0;201.5;;32.0;0.0;0.0;;67802.1
Похвистнево;2015;28322.0;1;0;40.53;0;0.0;0;0;0.0;0.0;0.0;188.3;212.8;;24.9;0.0;0.0;;41348.85
Приволжск;2015;16024.0;-9;0;41.54;0;0.0;0;0;0.0;0.0;0.0;220.3;169.9;;24.5;0.0;0.0;;
Приокско-Террасный Биосферный Заповедник;2015;0.0;-9;0;40.17;0;0.0;0;0;0.0;0.0;0.0;157.3;167.1;;25.0;0.0;0.0;;81716.3
Прокопьевск;2015;203147.0;1;22218;39.0;0;11.1;2681;1887;16.4;70.2;9.7;567.0;196.6;-1039.0;32.0;25835.2;36.5;;42520.5
Псков;2015;208145.0;1;23569;41.88;11106;13.2;3655;975;13.7;59.7;10.6;455.9;215.2;683.0;23.4;27405.4;59.6;;40596.7
Пятигорск;2015;145423.0;1;24701;38.73;0;11.4;3482;1305;10.3;51.7;9.4;275.1;203.4;-735.0;27.5;28721.9;43.0;;38231.24
Радужный;2015;43787.0;2;0;34.23;0;0.0;0;0;0.0;0.0;0.0;233.9;197.5;;24.9;0.0;0.0;;59274.5
Ростов-На-Дону;2015;1114806.0;2;30439;40.54;9952;0.0;0;0;0.0;0.0;0.0;531.8;198.1;3975.0;20.3;35394.7;290.2;;41725.27
Рыбинск;2015;196631.0;1;23577;41.42;0;11.5;3576;1464;17.1;77.3;10.4;242.6;190.0;-431.0;23.7;27415.6;57.2;;50640.15
Рязань;2015;532772.0;2;26688;42.36;9513;10.6;4311;2280;13.6;166.9;24.4;409.3;207.8;3569.0;24.2;31033.1;160.8;;38912.84
Салават;2015;154885.0;1;27602;38.36;0;12.3;2762;769;12.5;44.3;8.9;212.2;166.1;-1652.0;26.3;32095.5;46.0;;51565.5
Салехард;2015;0.0;1;71407;33.06;16927;18.9;957;463;5.9;10.9;3.6;307.4;357.0;-480.0;22.5;83031.5;24.5;;72151.33
Самара;2015;1171820.0;1;29441;40.53;9342;13.5;19841;6514;14.4;359.2;50.8;527.1;222.7;181.0;22.3;34234.1;373.8;;41348.85
Санкт-Петербург;2015;5191690.0;3;68307;41.23;10900;0.0;0;0;0.0;0.0;0.0;488.0;238.9;25263.0;24.5;0.0;0.0;;84746.31
